TIMESGTY,2024-08-16,134,134,129.06,130.66,10847
TVSELECT,2024-08-16,343.3,348.65,343.3,345.7,22256
DEEDEV,2024-08-16,369.95,373,355.45,359.95,870486
GTLINFRA,2024-08-16,2.71,2.79,2.68,2.74,200155474
ORIENTELEC,2024-08-16,264.25,278.8,264.25,269.9,361945
SANOFI,2024-08-16,6738.05,6908,6687.1,6720.5,49188
THYROCARE,2024-08-16,860,888,860,881.55,138919
TREEHOUSE,2024-08-16,23.36,24.1,23.25,23.59,9034
VHL,2024-08-16,3869.85,3939.95,3810,3870.4,670
WEWIN,2024-08-16,72.24,72.24,70.15,70.75,7344
ZODIACLOTH,2024-08-16,120.55,124.95,120.55,123.75,4607
ADANIENSOL,2024-08-16,1126.9,1138,1073.1,1085.3,3187004
BAJAJHLDNG,2024-08-16,9400,9600,9392,9585.5,20441
CCHHL,2024-08-16,21.8,21.8,21.4,21.45,41807
GRWRHITECH,2024-08-16,3074.9,3279.95,3074.85,3230.9,94860
HYBRIDFIN,2024-08-16,12.69,13.24,12.3,13.11,11777
INFIBEAM,2024-08-16,31.03,31.42,30.82,31.14,8864163
JKLAKSHMI,2024-08-16,801.45,804.95,788,790.2,190618
VRAJ,2024-08-16,218.9,222,213.76,214.61,101069
CANBK,2024-08-16,108,108.41,106.52,107.62,30254042
EIHAHOTELS,2024-08-16,429.45,433.4,420,421.3,50095
LIQUID1,2024-08-16,1003.52,1003.54,1003.52,1003.53,24251
METROPOLIS,2024-08-16,2007.15,2077.95,1984.2,2071.9,227808
PRITIKAUTO,2024-08-16,25.25,26.49,24.29,26.24,1754009
VERTOZ,2024-08-16,33.93,33.94,31.8,32.43,9386880
VIPULLTD,2024-08-16,30.49,31.6,29.43,30.85,583310
AIIL,2024-08-16,1371,1420,1371,1387.95,48998
INDBANK,2024-08-16,48.35,50,48.35,49.04,199399
INNOVACAP,2024-08-16,648.55,672.9,637.65,666.75,182808
KBCGLOBAL,2024-08-16,1.75,1.76,1.64,1.65,8090886
PANACHE,2024-08-16,132.13,132.13,132.13,132.13,2900
ROLEXRINGS,2024-08-16,2244.7,2258.3,2219.9,2225.9,9998
SHILPAMED,2024-08-16,688.95,688.95,661.6,675.05,173051
TEAMLEASE,2024-08-16,3080.2,3151,3080.2,3095.15,12200
WELSPUNLIV,2024-08-16,176.45,178.85,173.56,175.56,1392781
BEARDSELL,2024-08-16,38.7,38.7,36.31,38.04,59830
IMAGICAA,2024-08-16,93.15,94,90.4,91.45,1867782
NUVAMA,2024-08-16,6113.7,6202,6050.15,6148.5,56522
SUPREMEENG,2024-08-16,2.32,2.32,2.32,2.32,265283
ARE&M,2024-08-16,1569,1576.45,1547.45,1561,264213
CAPACITE,2024-08-16,352,364,339.05,341.65,7157939
HARDWYN,2024-08-16,28.25,29,27.8,27.98,125340
FMCGIETF,2024-08-16,65.36,65.65,64.3,65.12,278973
IOLCP,2024-08-16,390,393.4,384.75,390.85,121795
SPAL,2024-08-16,920.8,920.8,872.4,876.7,26912
SATIN,2024-08-16,211.2,211.96,202.5,204.05,539855
SIMPLEXINF,2024-08-16,141.11,144.39,138,139.09,27513
DYCL,2024-08-16,526,539.95,526,531.05,26086
GLFL,2024-08-16,7.17,7.17,7.17,7.17,1804
BLAL,2024-08-16,278.4,284.75,275.15,281.3,144561
ESSARSHPNG,2024-08-16,46.9,46.9,44,44.43,197879
MANAPPURAM,2024-08-16,204.02,204.89,197.51,201.78,8024696
NDTV,2024-08-16,203.81,204.62,201.7,202.33,115200
RADHIKAJWE,2024-08-16,71.1,76.39,69.76,75.74,2351713
UDS,2024-08-16,309.4,326,305.4,320,683790
CENTURYTEX,2024-08-16,2129.45,2156.25,2110.1,2130.7,111516
ESILVER,2024-08-16,83.49,86,82.71,83.85,56728
BANKETF,2024-08-16,506.36,510.9,502.46,509.82,1967
ASIANPAINT,2024-08-16,3054,3054,3003,3048.15,514229
EVERESTIND,2024-08-16,1048,1079.8,1048,1067.35,9562
KALYANIFRG,2024-08-16,506,519.95,505,516.6,598
MBAPL,2024-08-16,219.4,222.99,216.81,219.05,15085
PARACABLES,2024-08-16,80.15,81.41,78.32,79.6,1173192
PGEL,2024-08-16,441.85,495,440,490.1,3280659
ROUTE,2024-08-16,1550,1550,1520,1531.95,68913
SELAN,2024-08-16,888,932.25,875,921.15,147540
AYMSYNTEX,2024-08-16,130.41,134,128,128.32,16400
INDIANCARD,2024-08-16,289.65,292,282,284.7,9335
IRIS,2024-08-16,248,252.95,248,252.9,13281
MAHLOG,2024-08-16,483.9,485.55,475.55,483.25,65430
DALBHARAT,2024-08-16,1730,1754.75,1726.45,1750.8,320407
INDSWFTLTD,2024-08-16,24.5,24.5,23,23.51,99648
IITL,2024-08-16,234.9,237,225.5,231.02,153381
KIRLOSBROS,2024-08-16,1912,2043.55,1886,1985.95,96654
TIPSINDLTD,2024-08-16,716.05,745,716.05,744.2,346386
VLEGOV,2024-08-16,107,111.3,104.41,105.48,1668862
ZEELEARN,2024-08-16,9.71,9.71,9.71,9.71,165448
ALANKIT,2024-08-16,25.59,25.9,24.75,24.95,1308101
GODREJAGRO,2024-08-16,807.9,809.95,793.85,795.95,352105
PFC,2024-08-16,493.5,505.15,489.05,504.25,10378455
ARTNIRMAN,2024-08-16,66.7,70,66.7,67.94,1359
BAJAJHCARE,2024-08-16,423.9,424.2,400,403.45,557160
KSL,2024-08-16,781.25,784.3,753.05,758.5,83302
MID150BEES,2024-08-16,219,219.36,213,217.52,478106
ESCORTS,2024-08-16,3674.95,3742,3674.95,3732,178664
NDLVENTURE,2024-08-16,100.8,100.8,97.94,99.14,8353
THEINVEST,2024-08-16,179,184,175,181.77,5737
COMMOIETF,2024-08-16,92.74,93.25,91.58,92.94,126063
MADHUCON,2024-08-16,12.76,12.76,12.76,12.76,40101
MAHESHWARI,2024-08-16,73,74.78,72.15,73.12,34772
MAKEINDIA,2024-08-16,147.96,149.76,147.85,149.36,18220
UTKARSHBNK,2024-08-16,49,49,48,48.1,784623
HBLPOWER,2024-08-16,640.45,648,630,639,2620137
KFINTECH,2024-08-16,1005,1038.8,995.05,1005.45,801069
MUKTAARTS,2024-08-16,75.51,77.38,74.16,75.49,7996
TVSHLTD,2024-08-16,13486.3,13593.1,13150,13479.4,6115
VBL,2024-08-16,1428.05,1455,1412.5,1421.85,4605210
VIDHIING,2024-08-16,435.85,441.3,432.4,439.3,8073
CAMS,2024-08-16,4166.45,4325,4160.05,4272.7,434508
DOLPHIN,2024-08-16,665,688,655.5,666.65,3874
EIMCOELECO,2024-08-16,2824.5,2874.9,2683.3,2728.95,10221
FACT,2024-08-16,926.7,942.75,922.35,927,195737
MUTHOOTFIN,2024-08-16,1816.45,1880,1795,1833.95,350869
RPPL,2024-08-16,88,89.49,85.79,87.46,185528
SURYAROSNI,2024-08-16,658.6,663.65,642,654.5,253958
MOM30IETF,2024-08-16,36.39,36.6,35.91,36.55,865871
MGL,2024-08-16,1744.4,1823,1744.35,1817.9,607441
RADIOCITY,2024-08-16,15.06,15.37,15.06,15.1,378143
SANGAMIND,2024-08-16,382.1,407.7,376.6,405,50105
SONAMLTD,2024-08-16,48.76,50.39,47.7,48.57,140426
